Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        2432 number of functions
        2432 number of names

    ordinal hint RVA      name

            419  19A 0009F380 NtNotifyChangeKey
            420  19B 0009F3A0 NtNotifyChangeMultipleKeys
            421  19C 0009F3C0 NtNotifyChangeSession
            422  19D 0009DB50 NtOpenDirectoryObject
            423  19E 0009F3E0 NtOpenEnlistment
            424  19F 0009D850 NtOpenEvent
            425  1A0 0009F400 NtOpenEventPair
            426  1A1 0009D6B0 NtOpenFile
            427  1A2 0009F420 NtOpenIoCompletion
            428  1A3 0009F440 NtOpenJobObject
            429  1A4 0009D290 NtOpenKey
            430  1A5 0009F460 NtOpenKeyEx
            431  1A6 0009F480 NtOpenKeyTransacted
            432  1A7 0009F4A0 NtOpenKeyTransactedEx
            433  1A8 0009F4C0 NtOpenKeyedEvent
            434  1A9 0009F4E0 NtOpenMutant
            435  1AA 0009F500 NtOpenObjectAuditAlarm
            436  1AB 0009F520 NtOpenPartition
            437  1AC 0009F540 NtOpenPrivateNamespace
            438  1AD 0009D510 NtOpenProcess
            439  1AE 0009F560 NtOpenProcessToken
            440  1AF 0009D650 NtOpenProcessTokenEx
            441  1B0 0009F580 NtOpenRegistryTransaction
            442  1B1 0009F5A0 NtOpenResourceManager
            443  1B2 0009D730 NtOpenSection
            444  1B3 0009F5C0 NtOpenSemaphore
            445  1B4 0009F5E0 NtOpenSession
            446  1B5 0009F600 NtOpenSymbolicLinkObject
            447  1B6 0009F620 NtOpenThread
            448  1B7 0009D4D0 NtOpenThreadToken
            449  1B8 0009D630 NtOpenThreadTokenEx
            450  1B9 0009F640 NtOpenTimer
            451  1BA 0009F660 NtOpenTransaction
            452  1BB 0009F680 NtOpenTransactionManager
            453  1BC 0009F6A0 NtPlugPlayControl
            454  1BD 0009DC20 NtPowerInformation
            455  1BE 0009F6C0 NtPrePrepareComplete
            456  1BF 0009F6E0 NtPrePrepareEnlistment
            457  1C0 0009F700 NtPrepareComplete
            458  1C1 0009F720 NtPrepareEnlistment
            459  1C2 0009F740 NtPrivilegeCheck
            460  1C3 0009F760 NtPrivilegeObjectAuditAlarm
            461  1C4 0009F780 NtPrivilegedServiceAuditAlarm
            462  1C5 0009F7A0 NtPropagationComplete
            463  1C6 0009F7C0 NtPropagationFailed
            464  1C7 0009DA50 NtProtectVirtualMemory
            465  1C8 0009F7E0 NtPssCaptureVaSpaceBulk
            466  1C9 0009F800 NtPulseEvent
            467  1CA 0009D7F0 NtQueryAttributesFile
            468  1CB 0009F820 NtQueryAuxiliaryCounterFrequency
            469  1CC 0009F840 NtQueryBootEntryOrder
            470  1CD 0009F860 NtQueryBootOptions
            471  1CE 0009F880 NtQueryDebugFilterState
            472  1CF 0009D2F0 NtQueryDefaultLocale
            473  1D0 0009D8D0 NtQueryDefaultUILanguage
            474  1D1 0009D6F0 NtQueryDirectoryFile
            475  1D2 0009F8A0 NtQueryDirectoryFileEx
            476  1D3 0009F8C0 NtQueryDirectoryObject
            477  1D4 0009F8E0 NtQueryDriverEntryOrder
            478  1D5 0009F900 NtQueryEaFile
            479  1D6 0009DB10 NtQueryEvent
            480  1D7 0009F920 NtQueryFullAttributesFile
            481  1D8 0009F940 NtQueryInformationAtom
            482  1D9 0009F960 NtQueryInformationByName
            483  1DA 0009F980 NtQueryInformationEnlistment
            484  1DB 0009D270 NtQueryInformationFile
